job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,description_length,requirements_length,benefits_length,has_company_profile,has_company_benefits,description_short,job_type
1,Marketing Intern,"US, NY, New York",Marketing,,"we're food52, and we've created a groundbreaking and award-winning cooking site. we support, connect, and celebrate home cooks, and give them everything they need in one place.we have a top editorial, business, and engineering team. we're focused on using technology to find new and better ways to connect people around their specific food interests, and to offer them superb, highly curated information about food and cooking. we attract the most talented home cooks and contributors in the country we also publish well-known professionals like mario batali, gwyneth paltrow, and danny meyer. and we have partnerships with whole foods market and random house.food52 has been named the best food website by the james beard foundation and iacp, and has been featured in the new york times, npr, pando daily, techcrunch, and on the today show.we're located in chelsea, in new york city.","food52, a fast-growing, james beard award-winning online food community and crowd-sourced and curated recipe hub, is currently interviewing full- and part-time unpaid interns to work in a small team of editors, executives, and developers in its new york city headquarters.reproducing and/or repackaging existing food52 content for a number of partner sites, such as huffington post, yahoo, buzzfeed, and more in their various content management systemsresearching blogs and websites for the provisions by food52 affiliate programassisting in day-to-day affiliate program support, such as screening affiliates and assisting in any affiliate inquiriessupporting with pr &amp events when neededhelping with office administrative work, such as filing, mailing, and preparing for meetingsworking with developers to document bugs and suggest improvements to the sitesupporting the marketing and executive staff","experience with content management systems a major plus (any blogging counts)familiar with the food52 editorial voice and aestheticloves food, appreciates the importance of home cooking and cooking with the seasonsmeticulous editor, perfectionist, obsessive attention to detail, maddened by typos and broken links, delighted by finding and fixing themcheerful under pressureexcellent communication skillsa+ multi-tasker and juggler of responsibilities big and smallinterested in and engaged with social media like twitter, facebook, and pinterestloves problem-solving and collaborating to drive food52 forwardthinks big picture but pitches in on the nitty gritty of running a small company (dishes, shopping, administrative support)comfortable with the realities of working for a startup: being on call on evenings and weekends, and working long hours",not mentioned,0,1,0,Other,Internship,Unknown,Unknown,Marketing,0,905,852,13,1,0,Long,Real Job
2,Customer Service - Cloud Video Production,"NZ, , Auckland",Success,,"90 seconds, the worlds cloud video production service.90 seconds is the worlds cloud video production service enabling brands and agencies to get high quality online video content shot and produced anywhere in the world. 90 seconds makes video production fast, affordable, and all managed seamlessly in the cloud from purchase to publish. http://90url_fbe6559afac620a3cd2c22281f7b8d0eef56a73e3d9a311e2f1ca13d081dd63090 seconds removes the hassle, cost, risk and speed issues of working with regular video production companies by managing every aspect of video projects in a beautiful online experience. with a growing global network of over 2,000 rated video professionals in over 50 countries managed by dedicated production success teams in 5 countries, 90 seconds provides a 100% success guarantee.90 seconds has produced almost 4,000 videos in over 30 countries for over 500 global brands including some of the worlds largest including paypal, l’oreal, sony and barclays and has offices in auckland, london, sydney, tokyo and singapore.http://90url_fbe6559afac620a3cd2c22281f7b8d0eef56a73e3d9a311e2f1ca13d081dd630  http://90url_e2ad0bde3f09a0913a486abdbb1e6ac373bb3310f64b1fbcf550049bcba4a17b  http://90url_8c5dd1806f97ab90876d9daebeb430f682dbc87e2f01549b47e96c7bff2ea17e ","organised - focused - vibrant - awesomedo you have a passion for customer service? slick typing skills? maybe account management? ...and think administration is cooler than a polar bear on a jetski? then we need to hear you we are the cloud video production service and opperating on a glodal level. yeah, it's pretty cool. serious about delivering a world class product and excellent customer service.our rapidly expanding business is looking for a talented project manager to manage the successful delivery of video projects, manage client communications and drive the production process. work with some of the coolest brands on the planet and learn from a global team that are representing nz is a huge waywe are entering the next growth stage of our business and growing quickly internationally.  therefore, the position is bursting with opportunity for the right person entering the business at the right time. 90 seconds, the worlds cloud video production service - http://90url_fbe6559afac620a3cd2c22281f7b8d0eef56a73e3d9a311e2f1ca13d081dd63090 seconds is the worlds cloud video production service enabling brands and agencies to get high quality online video content shot and produced anywhere in the world. fast, affordable, and all managed seamlessly in the cloud from purchase to publish. 90 seconds removes the hassle, cost, risk and speed issues of working with regular video production companies by managing every aspect of video projects in a beautiful online experience.  with a growing network of over 2,000 rated video professionals in over 50 countries and dedicated production success teams in 5 countries guaranteeing video project success 100%. it's as easy as commissioning a quick google adwords campaign.90 seconds has produced almost 4,000 videos in over 30 countries for over 500 global brands including some of the worlds largest including paypal, l'oreal, sony and barclays and has offices in auckland, london, sydney, tokyo &amp singapore.our auckland office is based right in the heart of the wynyard quarter innovation precinct - gridakl","what we expect from you:your key responsibility will be to communicate with the client, 90 seconds team and freelance community throughout the video production process including, shoot planning, securing freelance talent, managing workflow and the online production management system.  the aim is to manage each video project effectively so that we produce great videos that our clients love.key attributesclient focused - excellent customer service and communication skillsonline - oustanding computer knowledge and experience using online software and project management toolsorganised - manage workload and able to multi-task100% attention to detailmotivated - self-starter with a passion for doing excellent work and achieving great resultsadaptable - show initiative and think on your feet as this is a constantly evolving atmosphereflexible - fast turnaround work and after hours availabilityeasy going &amp upbeat - dosen't get bogged down and loves the challengesense of humour - have a laugh and know that working in a startup takes gutsability to deliver - including meeting project deadlines and budgetattitude is more important than experience at 90 seconds, however previous experience in customer service and/or project management is beneficialplease view our platform / website at url_395a8683a907ce95f49a12fb240e6e47ad8d5a4f96d07ebbd869c4dd4dea1826 and get a clear understand about what we do before reaching out.","what you will get from usthrough being part of the 90 seconds team you will gain:experience working on projects located around the world with an international brandexperience working with a variety of clients and on a large range of projectsopportunity to drive and grow production function and teama positive working environment with a great teampay40,000-55,000applying for this role with a videobeing a video business, we understand that one of the quickest ways that we can assess your suitability for this role, and one of the quickest ways that you can apply for it, is for you to submit a 60-90 second long video telling us about yourself, your experience and why you think you would be perfect for the role.  it’s not about being a filmmaker or making a really creative video.  a simple video filmed with a smart phone or web cam will be fine. please also include where you are based and when you can start.you can upload the video onto youtube or vimeo (or similar) as a draft or live link.applications due by 5pm on wednesday 18th july 2014 - once you have a video ready, apply for this role via the following link together with a cover letter and your cv. after we have watched your video and get an idea of your suitability for the role, we will email the shortlisted candidates",0,1,0,Full-time,Not Applicable,Unknown,Marketing and Advertising,Customer Service,0,2076,1433,1292,1,1,Long,Real Job
4,Account Executive - Washington DC,"US, DC, Washington",Sales,,"our passion for improving quality of life through geography is at the heart of everything we do.  esri’s geographic information system (gis) technology inspires and enables governments, universities and businesses worldwide to save money, lives and our environment through a deeper understanding of the changing world around them.carefully managed growth and zero debt give esri stability that is uncommon in today's volatile business world.  privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.","the company: esri – environmental systems research instituteour passion for improving quality of life through geography is at the heart of everything we do.  esri’s geographic information system (gis) technology inspires and enables governments, universities and businesses worldwide to save money, lives and our environment through a deeper understanding of the changing world around them.carefully managed growth and zero debt give esri stability that is uncommon in today's volatile business world.  privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.the opportunity: account executiveas a member of the sales division, you will work collaboratively with an account team in order to sell and promote adoption of esri’s arcgis platform within an organization. as part of an account team, you will be responsible for facilitating the development and execution of a set of strategies for a defined portfolio of accounts. when executing these strategies you will utilize your experience in enterprise sales to help customers leverage geospatial information and technology to achieve their business goals. specifically…prospect and develop opportunities to partner with key stakeholders to envision, develop, and implement a location strategy for their organizationclearly articulate the strength and value proposition of the arcgis platformdevelop and maintain a healthy pipeline of opportunities for business growthdemonstrate a thoughtful understanding of insightful industry knowledge and how gis applies to initiatives, trends, and triggersunderstand the key business drivers within an organization and identify key business stakeholdersunderstand your customers’ budgeting and acquisition processessuccessfully execute the account management process including account prioritization, account resourcing, and account planningsuccessfully execute the sales process for all opportunitiesleverage and lead an account team consisting of sales and other cross-divisional resources to define and execute an account strategyeffectively utilize and leverage the crm to manage opportunities and drive the buying processpursue professional and personal development to ensure competitive knowledge of the real estate industryleverage social media to successfully prospect and build a professional networkparticipate in trade shows, workshops, and seminars (as required)support visual story telling through effective whiteboard sessionsbe resourceful and takes initiative to resolve issues","education: bachelor’s or master’s in gis, business administration, or a related field, or equivalent work experience, depending on position levelexperience: 5+ years of enterprise sales experience providing platform solutions to businessesdemonstrated experience in managing the sales cycle including prospecting, proposing, and closingability to adapt to new technology trends and translate them into solutions that address customer needsdemonstrated experience with strong partnerships and advocacy with customersexcellent presentation, white boarding, and negotiation skills including good listening, probing, and qualification abilitiesexperience executing insight selling methodologiesdemonstrated understanding and mitigation of competitive threatsexcellent written and verbal communication and interpersonal skillsability to manage and prioritize your activitiesdemonstrated experience to lead executive engagements to provide services and sell to the real estate industryknowledge of the real estate industry fiscal year, budgeting, and procurement cyclehighly motivated team player with a mature, positive attitude and passion to meet the challenges and opportunities of a businessability to travel domestically and/or internationally up to 50%general knowledge of spatial analysis and problem solvingresults oriented ability to write and craft smart, attainable, realistic, time-driven goals with clear lead indicators","our culture is anything but corporate—we have a collaborative, creative environment phone directories organized by first name a relaxed dress code and open-door policies.a place to thrivepassionate people who strive to make a differencecasual dress codeflexible work schedulessupport for continuing educationcollege-like campusa network of buildings amid lush landscaping and numerous outdoor patio areason-site café including a starbucks coffee bar and lounge areafitness center available 24/7comprehensive reference library and gis bibliographystate-of-the-art conference center to host staff and guest speakers green initiativessolar rooftop panels reduce carbon emissionselectric vehicles provide on-campus transportationhundreds of trees reduce the cost of cooling buildings",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Sales,0,2600,1429,782,1,1,Long,Real Job
5,Bill Review Manager,"US, FL, Fort Worth",,,"spotsource solutions llc is a global human capital management consulting firm headquartered in miami, florida. founded in january 2012, spotsource has created a fusion of innovative service offerings to meet the increasing demand of today’s economy. we specialize in talent acquisition, staffing, and executive search services across various functions and in specific industries. global talent transfusion (gtt) services utilize best in practice qualification standards to deliver talent in temporary, temporary-to-hire, and permanent basis. health career transition (hct) is a subsidiary of global talent transfusion and offers placement services specifically in the growing healthcare arena. spotsource executive search (ses) consultants are special breed talent evangelists that understand how to advise and streamline the human resources process in the direction your organization requires for long term sustainability and success. succession planning. leadership development programs. compensation analysis. recruitment process outsourcing. all customized to best suit the needs of your business. we understand the demand for cost-effective solutions for your organization. are you seeking a potential career transition and interested in discussing the current hiring trends and open positions? vital career consulting (vcc) offers career transitional services catered specifically for the job applicant, including resume construction, social media optimization, and interview coaching.address:4100 n powerline rd. ste z3pompano beach fl 33073office: phone_c90b6ca89acd18d9e31ea3590b4ad76605721bc372025598fe9e1e60cf428551","job title: itemization review managerlocation: fort worth, tx                                                           department: itemization reviewreports to: vp operations                            general description:responsible for the overall aspects of itemization review operations: personnel hiring, quality control of process, workflow, monitoring the tracking of and accountability of staff regarding production standards and department expectations.duties and responsibilities:oversee company’s itemization review department in its operationsresponsible for encouraging and reinforcing company culturedevelops processes to better department and implements new procedures/protocols works with customer service on elevated issues and provider callsimplements and audits policy in conjunction with policy and payment integrity department monitoring quality/and quality control of results for department responsible for ensuring overall metrics are in compliance with management and client expectationsresponsible for human resources matters directly related to department supervised (i.e. interviewing, hiring, training, annual evaluations, electronic time cards, and addressing personnel issues)may create/review daily, weekly, monthly reports, invoices, logs and expensesadditional duties/responsibilities as assigned comply with all safety rules/regulations, in conjunction with the injury and illness prevention program (“iipp”), as well as, maintain hipaa complianceoccasional interaction with customers","qualifications:rn license in the state of texasdiploma or bachelors of science in nursing, requiredpast managerial experience, preferred6 + years’ experience as or nurseexperience with facility bills helpfulstrong knowledge of icd9/cptknowledge of fee schedules, rules and r&ampc guidelinesmust be able to remain poised in stressful situationshighly motivated, self-starterexceptional organizational skillsability to handle deadlines and proactively problem solveeffective and professional communication skillsability to meet or exceed performance competenciesdemonstrated outstanding leadership, problem solving, and analytical skillsability to think and work independently, while working in an overall team environmentproficient in microsoft office suite",full benefits offered,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,1519,757,21,1,1,Long,Real Job
9,HP BSM SME,"US, FL, Pensacola",,,"solutions3 is a woman-owned small business whose focus is it service management using best of breed technology and implementing industry best practices following the itil® framework. we work extensively in the areas of planning, design, architecting, assessing, implementing and training on technology solutions.solutions3 focus areas include: enterprise network &amp systems management (architecture and implementation), it service management including the service desk and associated process definitions (incident &amp problem management, change &amp configuration management, service level management), the configuration management database (cmdb), it asset management, and alert/event management. we focus on best of breed technology and follow industry best practices, including itil® and iso20000.we have a strong focus on training and knowledge transfer associated with our solutions. many of our resources are course developers and instructors for many of our vendor partners. our practitioner experience comes into the training environment with us.we have a strong set of core values based on biblical principles that include great integrity, high ethics and always striving for excellence.  we are always seeking those candidates who want to work for an amazing technology company, make a difference and be a part of something great for the long term.",implementation/configuration/testing/training on:hp service health reporter,"must be a us citizen.an active ts/sci clearance will be required.additional tools:hp bsm applications: nnm, na, omi, omw, sitescope, etc… all   beneficialsoft skill req's:leadership, strong written &amp verbal communicationbeneficial:knowledge and experience with other hp software tools a big plus.additional itil and is20k knowledge/experience very helpful",not mentioned,0,1,1,Full-time,Associate,Unknown,Information Technology and Services,Unknown,0,75,359,13,1,0,Short,Real Job
10,Customer Service Associate - Part Time,"US, AZ, Phoenix",,,"novitex enterprise solutions, formerly pitney bowes management services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. for almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. as a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","the customer service associate will be based in phoenix, az. the right candidate will be an integral part of our talented team, supporting our continued growth.responsibilities:perform various mail center activities (sorting, metering, folding, inserting, delivery, pickup, etc.)lift heavy boxes, files or paper when neededmaintain the highest levels of customer care while demonstrating a friendly and cooperative attitudedemonstrate flexibility in satisfying customer demands in a high volume, production environmentconsistently adhere to business procedure guidelinesadhere to all safety procedurestake direction from supervisor or site managermaintain all logs and reporting documentation attention to detailparticipate in cross-training and perform other duties as assigned (filing, outgoing shipments, etc)operating mailing, copy or scanning equipmentshipping &amp receivinghandle time-sensitive material like confidential, urgent packagesperform other tasks as assignedscanning incoming mail to recipientsperform file purges and pullscreate files and ship filesprovide backfill when neededenter information daily into spreadsheetsidentify charges and match them to billingsort and deliver mail, small packages","minimum requirements:minimum of 6 months customer service related experience requiredhigh school diploma or equivalent (ged) requiredvalid driver's license and good driving record requiredpreferred qualifications:keyboarding and windows environment pc skills required (word, excel and powerpoint preferred)experience running mail posting equipment a plusexcellent communication skills both verbal and writtenlifting up to 55 lbs with or without accommodationswillingness and availability to work additional hours if assignedwillingness to submit to a pre-employment drug screening and criminal background checkability to effectively work individually or in a team environmentcompetency in performing multiple functional tasksability to meet employer's attendance policy",not mentioned,0,1,0,Part-time,Entry level,High School or equivalent,Financial Services,Customer Service,0,1218,769,13,1,0,Long,Real Job
13,"Applications Developer, Digital","US, CT, Stamford",,,"novitex enterprise solutions, formerly pitney bowes management services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. for almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. as a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth.","the applications developer, digital will develop or participate in the development, support or migration of the web and intranet applications, along with other business applications that may be cloud or locally hosted. our goal to make sure our applications are state of the art, available and content-rich. we also thrive to make sure all our users are satisfied and that all support requests are answered-to in timely manner.key responsibilities:php and url_c5591c960537d84ff7889f414633cdbc8e7d36f3fe042a096d374e4e058388d5 (c and vb) development per project needs.design, create and program mysql and sql server databases per project needs.triage and resolve tickets for supported systems and applicationsprovide troubleshooting expertise for proprietary applications in production and support environmentsdocument new and update solutions and process documentationfollow established procedures for managing risk when updating production systemscreate and update process automationmigrate applications between different environmentsdeploy new applicationsmanage content and support applications userstest applications and document issuesdevelop solutions to existing issues and track a knowledge basesupport office 365 environment and applicationsassist in gathering requirements and project specificationsattend meetings as needed.take ownership of daily applications support needs and communications.communicate project status and deliverables with managers and other involved personnel.manage project tasks, timelines, and communication.perform routine site maintenance as needed.other tasks as needed for successful project completion or as assigned by management.must be willing to travel to novitex sites (10%)","requirements:4 – 5 years’ experience in developing and deploying web applications.solid understanding of sdlc.knowledge of php, mysql, sql server and .netknowledge in setting up application development environments (internet and intranet)knowledge of web application deployment and server configuration methodologiesknowledge of content management systems and web analyticsability to troubleshoot applications and user issuesadditional preferred experience:knowledge of office 365 applicationsknowledge of sharepoint administrationsalesforce administration and integrationforward-thinking business development-focused mentality and work style.good customer service orientation and attitude.effective communication skills, both verbal and written.comfortable working with business support tools: ms excel, ms word, ms outlook, ms powerpoint and visio.",not mentioned,0,1,0,Full-time,Associate,Bachelor's Degree,Management Consulting,Information Technology,0,1721,850,13,1,0,Long,Real Job
14,Installers,"US, FL, Orlando",,,"growing event production company providing staging, scenic, and drapery primarily in the state of florida. we have a secondary location in las vegas and will soon be adding a third location in southeast florida. we are a small team passionate about creating high quality events and providing excellent customer service, both on show and in the office. ","event industry installers needed (orlando, fl - near florida mall)do you want to work? are you available on short notice? are you willing to work days, weekends, or nights, even overtime without complaining? are you a fast learner, team player, and possess strong organizational skills? we have installer positions available for qualified individuals.if you are afraid of hard work or getting dirty, do not waste my time, or yours this work can be very demanding.if you are willing to work hard, contribute to the team, a fast learner, organized, and able to communicate well, i am looking for you.this is physical work. it involves heavy lifting, moving heavy objects, getting your hands dirty, sometimes long days, or nights.if you think you can handle it, please feel free to contact me.","valid driver's license,somewhat clean driving recordif you can drive a box truck, even better dependable transportation to and from workavailable to work long, able to lift 65+ lbs.ability to work well with others with a professional demeanorjob description: loading/ unloading trucks, installing/ dismantling equipment, warehouse, job locations varies, however transportation is provided to job-site from central location.work environment: drug freeovertime as needed.if you do not meet all of the above qualifications, you will not be hired.serious inquires only. starting pay is 10.00 per hour",not mentioned,0,1,1,Full-time,Not Applicable,Unspecified,Events Services,Other,0,793,598,13,1,0,Long,Real Job
15,Account Executive - Sydney,"AU, NSW, Sydney",Sales,,"adthena is the uk’s leading competitive intelligence service for google search advertisers. adthena is loved by major brands and digital agencies alike and provides a great opportunity to work in the high growth adtech space. our patent-pending technologies provide unparalleled accuracy for clients to understand their competitors’ keywords, budgets, spend, cpcs, adcopy and more. we're profitable, fast growing and love what we do.","are you interested in a satisfying and financially rewarding role in a high growth technology company? you’ll work in a casual yet high energy environment alongside passionate people delivering the leading competitive intelligence solution to major global brands. with the continued rapid growth of digital marketing and ppc a huge opportunity exists to further expand the adthena enterprise client base. we are seeking an experienced account executive to develop and close new business in enterprise accounts. a large opportunity exists across all major search engine verticals including: auto, retail, gaming, travel, finance, insurance and education.primarily you’ll use a consultative approach to determine customer needs and deliver presentations and technical demonstrations. where required, you will work with a client’s advertising agency to uncover value for prospective customers. you’ll be supported by marketing and business development reps to build a pipeline of accounts.","you’ll need to be smart and passionate and have 2 years experience selling software/saas ideally including familiarity with ppc and marketing technologies. excellent presentation and communication skills as well an understanding of marketing technologies in enterprise organisations. you should be an entrepreneurial self-starter who is looking for a high growth technology environment and have strong skills in url_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86, powerpoint and google apps.","in return we'll pay you well, give you some ownership in the company (stock options) and importantly provide you with excellent opportunities for advancement and professional development. oh, and we’ll give you a new pair of adidas trainers when you join.",0,1,0,Full-time,Associate,Bachelor's Degree,Internet,Sales,0,986,511,255,1,1,Long,Real Job
22,Front End Developer,"NZ, N, Auckland",,,"frustrated with the status quo?like to re-imagine whats possible?want to build awesome products?then do something about itteknique is moving into a new phase of company growth - and we're looking for top notch people who want to be involved in something awesomewhat we dowe are a visionary business specializing in the design and development of miniaturized wireless video camera systems used in action sports, driver safety, and security. our award winning products are licensed to brand name clients worldwide.  learn about us on linkedin, twitter, and facebook and keep up with latest video news and innovation.our vision is the future, and at teknique we create it - with sustainable, continually evolving, world-class products. innovation, insight and ideas are critical to our success applicant’s will possess these attributes and have a strong desire to create what “the world hasn't seen yet”.our workplacewe offer a creative team working environment in a modern office in auckland, new zealand, with bush views, free snacks and coffee machine, latest macbook pro's, office 3d printer, not to mention lots of miniature video cameras that you can play with, whether you're into snowboarding, motor racing, dirt bikes, or just want to strap a camera  to your cat and find out where he goes every day.","want to be part of a globally focused tech team designing consumer products?innovative ideas. creative approaches. insatiable curiosity. that's what we expect from a front-end web developer at teknique. here, you'll be part of a fiercely collaborative technology team charged with creating amazing web platforms for our smart camera and video solutions.  that means contributing to high-traffic websites for a broad range of high-profile companies, and actively supporting our diverse suite of best-in-class technologies.  all this in an environment that constantly challenges you to push beyond boundaries and enhance your expertise.  as a valued member of the team, you will have an active role in helping design world class video camera systems, so you can expect to be involved in design meetings, testing products and being a real user for the products we create.  this position will integrate tightly with experience design (xd), so we need to speak the same language, even as the vocabulary continues to evolve.on a day-to-day basis you might be:working with the product team to implement product features and roll out new functionality.utilizing coding and design experience to develop robust web-client user interfaces which integrate with various server-side components and back-end systemstranslating prototypes and designs into clean, valid, launch-ready codeexploring new technologies/industry trends and technical innovationcreating proof-of-concepts using new technologieshandling multiple project requirements and making appropriate technical decisionscollaborating with product managers, designers, and software engineers to ensure design vision is maintained, final markup is standards compliant, and ui deliverables are completed on time.attend team meetings and contribute creatively?draft blog posts about your creative visions on ui/ux design and share them with the wider team – and potentially our customers.","you will most likely have:a solid mastery of modern web application development, including semantic html, css, rest, javascript, ui frameworks and libraries, browser-based wire-framing and prototyping, responsive design, progressive enhancement, performance optimisation techniques, and style guide documentation.familiarity with enterprise-quality coding practices, including debugging and bug tracking, unit testing, and version control.experience with ux + interface design for web, mobile apps + more …?experience with adobe creative suite &amp other design softwaresbe able to strongly communicate your ideas within the team + our clients?have a real passion to reach the end-userthe ability to self-direct and manage multiple projects and complete them under strict deadlines? a passion for creating things with purpose + intent","you will be part of an awesome team of innovators, creators, and do-ers that enjoy building new products  the world hasn't seen yet.we encourage continual upskill and learning through supporting our employees at conferences and training events.and, we offer a creative team working environment in our modern office in auckland, new zealand, with bush views, free snacks and coffee machine, latest macbook pro's, office 3d printer, not to mention lots of miniature video cameras that you can play with, whether you're into snowboarding, motor racing, dirt bikes, or just want to strap a camera  to your cat and find out where he goes every day.",0,1,0,Full-time,Mid-Senior level,Master's Degree,Consumer Electronics,Engineering,0,1932,835,643,1,1,Long,Real Job
